TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
GMAT3;6,05;;11,92;1,67;0,93;21,59;6,32;4,62;8,70;10,07;1,37;0,26;0,55;2,22;-2,52;2,98;14,04;7,80;13,01;0,56;0,44;1,69;30,71;47,75;33.856.360,22;3,61;0,51;0,41;13.366.543.777,95
GNDI3;66,95;;-3.584,81;5,84;2,38;18,55;3,28;-0,10;104,45;109,34;4,90;0,27;3,42;79,65;-3,01;1,17;-0,16;-0,07;2,22;0,41;0,59;0,69;29,03;;;11,47;-0,02;35,34;41.526.443.086,05
GOAU3;11,11;10,44;4,18;0,64;0,15;17,50;16,60;3,80;0,96;1,33;0,38;0,25;0,16;0,54;-0,25;3,02;15,29;3,54;15,06;0,23;0,33;0,93;17,42;;761.214,04;17,38;2,66;-0,10;11.419.953.914,20
GOAU4;11,03;10,52;4,15;0,63;0,15;17,50;16,60;3,80;0,95;1,33;0,38;0,25;0,16;0,53;-0,25;3,02;15,29;3,54;15,06;0,23;0,33;0,93;17,42;;92.935.943,85;17,38;2,66;-0,10;11.419.953.914,20
GOLL4;8,33;;250,67;-1,21;1,55;29,03;15,11;0,58;9,56;4,66;3,41;;1,44;-2,55;-1,95;0,25;-0,48;0,62;-23,52;-1,28;2,28;1,07;8,03;41,44;94.387.195,56;-6,88;0,03;-2,45;3.488.095.070,32
GPAR3;50,00;;49,08;5,53;5,28;30,64;78,04;694,19;436,54;417,74;-18,80;-0,24;340,67;19,01;-7,40;30,76;11,27;10,75;-2,40;0,95;0,05;0,02;-9,31;-43,77;7.500,00;9,04;1,02;-0,54;3.983.825.100,00
GPIV33;2,89;;-0,31;0,12;0,04;100,00;154,55;185,32;-0,38;-1,51;-1,13;0,35;;-0,39;-0,05;0,60;-37,04;-12,64;-12,55;0,34;0,42;-0,07;;;36.717,63;24,90;-9,22;0,00;124.980.636,55
GRAO3;0,00;;0,00;0,00;0,00;-1,88;3,19;1,89;0,00;3,07;3,07;2,88;0,00;0,00;0,00;0,88;55,75;6,97;10,91;0,13;0,80;3,68;;;;1,21;0,67;0,00;0,00
GRND3;6,62;20,08;10,72;1,77;1,61;42,35;9,28;22,64;26,16;23,25;-2,90;-0,20;2,43;3,03;-4,14;7,66;16,52;15,03;5,87;0,91;0,09;0,66;2,21;-3,36;9.181.683,33;3,74;0,62;-0,93;5.972.299.200,00
GSHP3;15,50;;-1,61;-0,04;0,02;68,18;27,78;-12,06;0,70;39,56;38,86;;0,19;-0,46;-0,02;0,78;-2,46;-1,22;2,83;-0,50;1,50;0,10;-9,39;;2.693,80;-392,36;-9,64;0,02;29.895.919,50
GUAR3;5,17;;-29,48;0,51;0,18;58,57;4,10;-1,03;7,38;12,25;4,88;0,34;0,30;0,72;-0,51;1,65;-1,73;-0,62;3,64;0,36;0,64;0,60;5,59;;9.792.149,33;10,14;-0,18;0,25;2.580.864.000,00
GUAR4;151,00;;-861,00;14,89;5,32;58,57;4,10;-1,03;215,42;12,25;4,88;0,34;8,83;20,95;-14,90;1,65;-1,73;-0,62;3,64;0,36;0,64;0,60;5,59;;;10,14;-0,18;7,23;2.580.864.000,00
HAGA3;2,79;;4,35;-0,60;0,56;27,03;21,32;25,82;5,26;0,34;-2,93;;1,12;1,38;-3,69;1,93;-13,78;12,94;-16,62;-0,94;1,94;0,50;2,91;;5.774,92;-4,66;0,64;0,06;20.587.000,53
HAGA4;1,20;;1,87;-0,26;0,24;27,03;21,32;25,82;2,26;0,34;-2,93;;0,48;0,59;-1,59;1,93;-13,78;12,94;-16,62;-0,94;1,94;0,50;2,91;;33.447,00;-4,66;0,64;0,03;20.587.000,53
HAPV3;4,46;;-42,86;0,68;0,45;23,96;0,63;-2,97;202,73;238,00;35,26;0,12;1,27;27,56;-0,51;1,15;-1,59;-1,05;-0,69;0,66;0,34;0,35;43,91;;357.078.061,74;6,54;-0,10;-0,20;33.626.006.152,98
HBOR3;2,62;3,49;8,33;0,25;0,06;27,82;16,65;3,87;1,94;11,02;9,08;1,19;0,32;0,13;-0,20;3,62;3,04;0,76;3,64;0,25;0,60;0,20;11,84;;1.207.761,81;10,35;0,31;-0,23;350.689.808,64
HBRE3;4,86;;9,51;0,26;0,12;82,30;160,69;34,60;2,05;6,09;4,05;0,52;3,29;119,58;-0,12;1,02;2,76;1,22;5,85;0,44;0,42;0,04;21,74;-8,70;1.040.925,22;18,50;0,51;-0,13;501.498.447,66
HBSA3;3,99;;40,73;2,04;0,49;37,98;22,07;3,77;6,96;15,16;8,20;2,40;1,54;4,43;-0,62;2,13;5,00;1,20;6,38;0,24;0,76;0,32;17,46;44,82;46.249.537,11;1,96;0,10;-0,30;3.033.926.745,57
HBTS5;52,00;5,57;3,97;0,83;0,33;89,64;133,89;118,82;3,52;4,67;1,15;0,27;4,71;-9,29;-0,37;0,77;20,89;8,29;16,33;0,40;0,60;0,07;49,55;;17.541,08;62,76;13,11;-0,37;474.951.724,00
HETA3;96,00;;0,24;-0,14;3,55;100,00;66,20;6.168,36;22,18;155,49;147,07;;14,69;-37,06;-4,81;0,73;-58,52;1.491,54;391,44;-25,49;26,49;0,24;3,27;;;-689,01;403,24;0,00;18.586.394,35
HETA4;6,35;;0,02;-0,01;0,23;100,00;66,20;6.168,36;1,47;155,49;147,07;;0,97;-2,45;-0,32;0,73;-58,52;1.491,54;391,44;-25,49;26,49;0,24;3,27;;1.571,89;-689,01;403,24;0,00;18.586.394,35
HGTX3;37,50;;101,99;3,57;2,48;40,58;-0,59;4,10;-707,65;-713,65;-5,99;0,03;4,18;7,50;-5,59;2,47;3,51;2,43;-7,32;0,69;0,31;0,59;-7,54;-26,63;;10,49;0,37;-1,23;6.095.022.637,50
HOOT3;0,00;;0,00;0,00;0,00;69,58;132,67;109,20;0,00;0,07;-0,06;;0,00;0,00;0,00;0,13;-66,02;27,56;-68,65;-0,42;1,48;0,25;-3,08;;;-11,55;7,62;0,00;21.788.803,44
HOOT4;2,76;;0,36;-0,24;0,10;69,58;132,67;109,20;0,30;0,07;-0,06;;0,40;-0,16;-0,11;0,13;-66,02;27,56;-68,65;-0,42;1,48;0,25;-3,08;;19.063,59;-11,55;7,62;0,01;21.788.803,44
HYPE3;32,38;3,80;11,60;1,80;0,85;63,15;32,88;21,60;7,62;10,45;2,83;0,67;2,50;5,37;-1,27;1,89;15,53;7,29;12,12;0,47;0,53;0,34;16,61;12,88;123.903.222,52;17,98;2,79;1,27;20.510.166.248,74
IDVL3;2,16;;-0,99;0,93;0,06;-18,91;-40,19;-154,60;-3,81;-3,84;;;1,53;0,48;-0,13;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IDVL4;2,67;;-1,22;1,16;0,07;-18,91;-40,19;-154,60;-4,71;-3,84;;;1,89;0,59;-0,16;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IFCM3;1,42;;-1,99;0,39;0,17;42,99;-6,52;-27,93;-8,52;-16,62;-8,09;0,37;0,56;22,31;-0,23;1,03;-19,52;-8,36;-3,06;0,43;0,57;0,30;;;7.641.560,52;3,66;-0,71;-0,02;550.016.428,46
IGBR3;175,99;;0,56;-0,34;1,04;100,00;6.032,01;5.379,32;0,50;1,06;0,56;;30,26;-0,99;-2,15;0,33;-60,10;184,10;-146,75;-3,06;4,06;0,03;-7,98;;250.175,33;-520,56;312,87;0,00;220.074.791,04
IGSN3;0,00;;0,00;0,00;0,00;33,12;12,41;-19,99;0,00;21,03;21,03;1,93;0,00;0,00;0,00;1,05;-14,79;-3,78;0,66;0,26;0,74;0,19;29,48;;;7,09;-1,05;0,00;0,00
IGTA3;33,00;;68,93;1,88;0,97;62,04;54,08;8,01;10,21;12,36;2,16;0,40;5,52;81,71;-1,24;1,06;2,73;1,40;9,68;0,51;0,48;0,18;7,55;-17,47;;17,55;0,48;0,31;5.758.073.079,00
IGTI11;20,73;1,77;30,41;2,06;1,14;61,96;51,62;24,53;14,45;12,65;3,30;0,47;7,46;8,18;-1,43;3,22;6,78;3,75;7,97;0,55;0,44;0,15;7,95;28,92;72.986.202,07;10,05;0,68;0,02;5.474.980.191,90
IGTI3;2,62;2,00;11,53;0,78;0,43;61,96;51,62;24,53;5,48;12,65;3,30;0,47;2,83;3,10;-0,54;3,22;6,78;3,75;7,97;0,55;0,44;0,15;7,95;28,92;173.209,37;3,35;0,23;0,01;5.474.980.191,90
IGTI4;8,34;1,88;36,71;2,49;1,38;61,96;51,62;24,53;17,44;12,65;3,30;0,47;9,00;9,87;-1,73;3,22;6,78;3,75;7,97;0,55;0,44;0,15;7,95;28,92;3.535,75;3,35;0,23;0,02;5.474.980.191,90
INEP3;4,37;;-0,50;-0,11;0,15;-84,50;-1.128,47;-4.213,94;-1,87;-10,75;-9,03;;21,15;-0,15;-0,16;0,08;-21,28;-29,29;13,46;-1,38;2,38;0,01;-23,07;;268.807,70;-40,91;-8,71;0,00;173.743.635,52
INEP4;3,10;;-0,36;-0,08;0,10;-84,50;-1.128,47;-4.213,94;-1,33;-10,75;-9,03;;15,00;-0,11;-0,11;0,08;-21,28;-29,29;13,46;-1,38;2,38;0,01;-23,07;;132.290,96;-40,91;-8,71;0,00;173.743.635,52
INNT3;0,00;;0,00;0,00;0,00;24,36;10,90;9,04;0,00;4,92;4,92;1,51;0,00;0,00;0,00;1,04;25,37;3,89;9,27;0,15;0,85;0,43;30,40;13,01;;1,85;0,47;0,00;0,00
INTB3;19,11;2,12;12,02;2,54;1,33;31,46;11,78;12,53;12,78;12,24;-0,54;-0,11;1,51;2,91;-4,86;2,68;21,10;11,04;13,25;0,52;0,47;0,88;23,09;23,17;35.004.181,41;7,53;1,59;0,50;6.260.648.312,10
IRBR3;43,18;;-11,50;0,86;0,17;-9,84;-15,96;-4,56;-3,29;-3,29;;;0,52;-1,07;-0,40;0,78;-7,47;-1,50;;0,20;0,80;0,33;8,26;;76.259.914,00;50,30;-3,75;0,18;3.552.116.858,16
ITEC3;40,10;;-35,12;22,04;9,22;-121,18;-18.852,94;-7.435,88;-13,85;-13,21;0,64;-1,02;2.611,73;25,42;-16,70;5,23;-62,76;-26,24;-174,07;0,42;0,58;0,00;-75,29;;;1,82;-1,14;1,36;443.994.658,60
ITSA3;9,43;7,87;6,89;1,19;0,89;34,55;199,77;169,98;5,87;6,15;0,32;0,07;11,72;20,93;-1,03;1,49;17,26;12,97;16,31;0,75;0,21;0,08;11,30;10,26;2.661.052,74;7,92;1,37;-228,78;90.847.544.750,45
ITSA4;9,33;7,96;6,82;1,18;0,88;34,55;199,77;169,98;5,80;6,15;0,32;0,07;11,59;20,71;-1,02;1,49;17,26;12,97;16,31;0,75;0,21;0,08;11,30;10,26;173.628.323,96;7,92;1,37;-226,35;90.847.544.750,45
ITUB3;24,82;6,03;7,64;1,33;0,10;30,03;9,92;8,30;6,40;6,96;;;0,63;;-0,10;;17,34;1,27;;0,07;0,92;0,15;13,63;6,54;11.180.020,30;18,73;3,25;0,66;264.757.274.188,74
ITUB4;29,24;5,11;9,01;1,56;0,11;30,03;9,92;8,30;7,54;6,96;;;0,75;;-0,12;;17,34;1,27;;0,07;0,92;0,15;13,63;6,54;698.854.801,56;18,73;3,25;0,77;264.757.274.188,74
JALL3;8,48;5,22;3,23;1,30;0,41;30,21;51,55;42,37;2,65;5,32;2,67;1,31;1,37;1,96;-0,62;2,53;40,16;12,66;16,71;0,32;0,68;0,30;;;6.836.361,63;6,55;2,63;;2.574.035.006,72
JBSS3;21,07;9,49;10,06;1,10;0,24;-4,09;-3,86;1,26;-3,29;-8,94;-5,65;1,89;0,13;2,17;-0,37;1,43;10,97;2,34;-12,57;0,21;0,77;1,85;18,10;54,13;167.244.605,19;19,10;2,10;-0,13;46.735.711.915,90
JFEN3;2,13;;-1,68;-0,07;0,04;10,27;-77,84;-35,66;-0,77;-10,94;-10,17;;0,60;-0,27;-0,21;0,85;-4,17;-2,35;87,49;-0,56;1,65;0,07;-47,18;;15.770,11;-30,46;-1,27;0,02;44.816.825,19
JHSF3;4,52;10,36;6,62;0,61;0,29;55,96;44,96;27,67;4,08;7,25;3,17;0,47;1,83;1,34;-0,41;3,42;9,21;4,35;7,66;0,47;0,49;0,16;39,82;;12.018.783,70;7,41;0,68;-0,14;3.070.565.005,32
JOPA3;21,00;3,91;15,52;0,39;0,10;19,66;4,75;0,65;2,13;8,39;6,24;1,14;0,10;0,31;-0,35;1,78;2,51;0,64;5,08;0,25;0,66;0,98;16,21;-5,65;289.660,13;53,87;1,35;-0,25;223.911.091,40
JOPA4;33,80;2,67;24,98;0,63;0,16;19,66;4,75;0,65;3,43;8,39;6,24;1,14;0,16;0,51;-0,57;1,78;2,51;0,64;5,08;0,25;0,66;0,98;16,21;-5,65;3.380,00;53,87;1,35;-0,40;223.911.091,40
JSLG3;8,77;2,69;6,74;1,49;0,24;18,55;17,05;5,27;2,08;6,30;4,22;3,03;0,36;2,03;-0,34;1,64;22,15;3,52;15,03;0,16;0,84;0,67;-3,66;;2.551.683,67;5,88;1,30;0,05;2.512.000.554,06
KEPL3;10,73;10,60;7,30;2,83;1,40;32,03;22,32;17,47;5,72;5,39;-0,33;-0,16;1,28;5,12;-4,25;1,68;38,76;19,12;28,93;0,49;0,51;1,09;25,71;;12.106.628,04;3,79;1,47;-0,29;1.928.396.994,90
KLBN11;22,61;5,45;8,82;2,28;0,49;39,10;24,14;15,48;5,66;10,31;4,65;1,87;1,37;3,49;-0,67;2,16;25,81;5,57;8,05;0,22;0,74;0,36;19,06;40,17;101.933.465,37;9,93;2,56;-0,23;25.404.111.042,63
KLBN3;4,49;5,49;8,76;2,26;0,49;39,10;24,14;15,48;5,62;10,31;4,65;1,87;1,36;3,46;-0,66;2,16;25,81;5,57;8,05;0,22;0,74;0,36;19,06;40,17;1.670.252,15;1,99;0,51;-0,23;25.404.111.042,63
KLBN4;4,51;5,46;8,80;2,27;0,49;39,10;24,14;15,48;5,64;10,31;4,65;1,87;1,36;3,48;-0,66;2,16;25,81;5,57;8,05;0,22;0,74;0,36;19,06;40,17;7.166.244,63;1,99;0,51;-0,23;25.404.111.042,63
KRSA3;0,87;;-3,17;0,66;0,14;20,42;11,73;-9,50;2,57;11,06;8,49;2,19;0,30;1,02;-0,20;1,92;-20,93;-4,46;6,67;0,21;0,77;0,47;;;1.097.401,44;1,31;-0,27;-0,04;672.812.818,29
LAME3;6,60;;21,15;1,91;0,28;32,90;4,35;2,27;11,03;16,86;5,87;1,01;0,48;1,20;-0,66;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;;3,46;0,31;-46,97;12.391.135.396,59
LAME4;6,57;;21,06;1,90;0,28;32,90;4,35;2,27;10,98;16,86;5,87;1,01;0,48;1,19;-0,65;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;;3,46;0,31;-46,75;12.391.135.396,59
LAND3;16,30;8,31;10,64;2,24;1,71;94,09;67,86;150,05;23,52;24,80;1,28;0,12;15,96;-34,51;-1,73;0,19;21,03;16,09;-2,85;0,76;0,24;0,11;;;2.181.316,74;7,29;1,53;0,02;1.568.499.480,60
LAVV3;7,31;4,03;9,42;1,19;0,72;33,64;19,83;21,54;10,24;6,91;-3,32;-0,39;2,03;1,21;-3,14;4,33;12,60;7,62;8,46;0,60;0,35;0,35;122,69;;4.135.772,00;6,16;0,78;0,39;1.458.596.113,12
LCAM3;24,15;;37,50;1,74;0,61;35,76;27,34;4,30;5,90;10,76;4,86;1,43;1,61;166,44;-0,75;1,02;4,64;1,63;9,64;0,35;0,65;0,38;49,27;40,15;;13,87;0,64;-0,58;12.285.815.275,65
LEVE3;31,53;31,39;6,05;3,00;1,42;29,06;19,56;15,85;4,90;5,12;0,22;0,13;0,96;4,68;-3,82;1,93;49,55;23,47;34,33;0,47;0,53;1,48;13,28;24,38;39.339.914,48;10,52;5,21;0,16;4.273.544.670,00
LHER3;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LHER4;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LIGT3;5,60;;-0,40;0,68;0,09;16,14;-14,91;-39,74;-1,06;-5,38;-4,33;2,80;0,16;-0,19;-0,11;0,27;-172,20;-22,51;-19,41;0,13;0,87;0,57;3,21;;5.467.570,81;8,21;-14,14;0,00;2.086.309.814,40
LINX3;37,40;;-90,95;4,38;2,74;68,70;-4,79;-8,67;-164,48;-159,30;5,18;-0,14;7,88;11,96;-4,82;2,14;-4,81;-3,02;-2,23;0,63;0,37;0,35;14,30;;;8,55;-0,41;0,13;7.083.895.104,00
LIPR3;70,12;3,38;35,99;3,88;3,64;;;;40,17;39,28;-0,89;-0,09;;33,14;-4,13;11,06;10,78;10,10;9,33;0,94;0,06;0,00;;-10,18;9.358,00;18,07;1,95;-5,77;824.954.016,68
LJQQ3;4,50;;-22,83;1,67;0,28;34,11;2,77;-1,56;12,89;12,63;-0,26;-0,03;0,36;0,90;-0,83;1,86;-7,33;-1,21;5,03;0,17;0,83;0,77;18,92;;18.860.335,81;2,69;-0,20;0,02;842.806.210,50
LOGG3;24,05;3,82;15,07;0,67;0,40;98,51;124,48;69,23;8,38;13,19;4,81;0,38;10,43;4,05;-0,49;2,52;4,42;2,68;5,19;0,61;0,39;0,04;16,90;34,23;5.040.096,44;36,13;1,60;-0,24;2.456.927.653,70
LOGN3;42,50;;11,98;4,84;1,34;23,67;17,51;17,40;11,90;14,27;2,37;0,96;2,08;12,45;-1,90;1,58;40,42;11,20;10,45;0,28;0,72;0,64;18,84;;3.132.032,41;8,78;3,55;0,09;4.549.999.765,00
LPSB3;2,03;1,02;53,85;1,49;0,78;82,19;18,93;2,91;8,29;6,90;-1,40;-0,25;1,57;8,21;-1,03;1,63;2,77;1,44;13,24;0,52;0,49;0,50;11,92;;277.430,85;1,36;0,04;-0,60;299.535.900,93
LREN3;13,55;5,36;12,84;1,34;0,65;59,99;7,71;7,63;12,71;12,15;-0,56;-0,06;0,98;2,61;-1,61;1,73;10,46;5,09;7,95;0,49;0,51;0,67;12,26;6,76;250.789.174,07;10,08;1,05;-1,18;13.051.725.755,15
LTEL3B;86,61;1,41;16,50;5,71;5,64;;;;16,66;16,65;-0,02;-0,01;;-973,91;-5,68;0,52;34,63;34,21;34,27;0,99;0,01;0,00;;-16,16;;15,16;5,25;-0,42;18.664.056.853,83
LUPA3;2,33;;2,35;0,58;0,19;21,99;-64,25;40,69;-1,49;-3,88;-2,40;0,94;0,96;2,47;-0,27;1,33;24,86;7,89;-59,21;0,32;0,68;0,19;-0,35;;1.224.553,67;3,99;0,99;0,00;91.696.276,25
LUXM3;0,00;;0,00;0,00;0,00;30,07;16,81;10,86;0,00;8,76;-0,15;-0,03;0,00;0,00;0,00;0,96;12,61;9,06;11,35;0,72;0,28;0,83;6,11;30,41;;5,59;0,70;0,00;202.048.560,00
LUXM4;17,43;;24,73;3,12;2,24;30,07;16,81;10,86;15,98;8,76;-0,15;-0,03;2,69;-443,95;-2,58;0,96;12,61;9,06;11,35;0,72;0,28;0,83;6,11;30,41;82.264,60;5,59;0,70;0,75;202.048.560,00
LVTC3;4,24;0,32;19,83;0,43;0,20;21,78;6,68;1,37;4,06;2,99;-1,07;-0,11;0,27;0,65;-0,37;2,88;2,15;0,99;8,21;0,46;0,54;0,72;;;72.133,26;9,95;0,21;-0,29;274.171.387,12
LWSA3;6,61;0,79;-206,13;1,35;0,89;45,96;5,16;-1,56;62,36;46,73;-15,62;-0,34;3,22;6,66;-1,52;1,48;-0,66;-0,43;2,02;0,66;0,34;0,28;31,17;;38.546.699,89;4,89;-0,03;0,54;3.938.001.084,38
MAGG3;59,40;;-119,99;1,32;0,44;33,56;9,54;-0,57;7,17;11,30;4,13;0,76;0,68;9,32;-0,71;1,14;-1,10;-0,37;7,17;0,33;0,67;0,64;8,44;;;44,89;-0,50;1,04;2.972.404.571,40
MAPT3;30,05;;-189,13;-4,44;35,72;;;;-172,58;-117,28;0,00;;;-27.612,79;-35,72;0,00;-2,35;-18,89;2,57;-8,05;9,05;0,00;;;9.015,00;-6,77;-0,16;17,23;18.765.212,75
MAPT4;11,00;;-69,23;-1,62;13,08;;;;-63,17;-117,28;0,00;;;-10.107,85;-13,08;0,00;-2,35;-18,89;2,57;-8,05;9,05;0,00;;;2.688,00;-6,77;-0,16;6,31;18.765.212,75
MATD3;7,12;0,90;23,82;1,65;0,54;34,17;20,07;5,54;6,57;8,87;2,30;0,58;1,32;3,44;-0,71;2,81;6,94;2,25;11,39;0,32;0,66;0,41;;;2.876.699,15;4,31;0,30;-2,15;2.722.188.325,52
MBLY3;3,85;;-5,41;0,80;0,50;42,25;-13,31;-12,42;-5,05;-5,18;-0,13;0,02;0,67;1,27;-1,14;3,49;-14,70;-9,31;-11,72;0,63;0,37;0,75;;;5.395.732,78;4,84;-0,71;0,26;409.986.130,40
MDIA3;34,07;0,59;23,17;1,65;0,99;28,47;5,98;4,50;17,43;19,17;1,74;0,17;1,04;4,31;-1,77;2,07;7,12;4,26;5,78;0,60;0,40;0,95;13,34;-10,00;35.638.531,78;20,64;1,47;-1,19;11.549.730.000,00
MDNE3;11,10;;7,39;0,75;0,31;31,88;12,83;12,95;7,46;6,89;-0,58;-0,06;0,96;1,28;-0,49;2,76;10,14;4,14;6,69;0,41;0,59;0,32;5,57;;3.801.134,22;14,80;1,50;0,21;942.494.062,50
